source_type,source_label,source_url,source_updated_at,collected_at,source_row_number,pharmacy_name_source_raw,pharmacy_name,is_public_late_night,address_source_raw,address_normalized,phone_source_raw,phone_normalized,weekday_hours_source_raw,weekday_hours_normalized,saturday_hours_source_raw,saturday_hours_normalized,sunday_hours_source_raw,sunday_hours_normalized,raw_row_text,source_record_id,preprocessing_status
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,11,이마트윤약국,이마트윤약국,False,"원주시 북원로 1928, (무실동 이마트 2층)",원주시 북원로 1928 (무실동 이마트 2층),743-7199,033-743-7199,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,"이마트윤약국 원주시 북원로 1928, (무실동 이마트 2층) 743-7199 10:00~22:00 10:00~22:00 10:00~22:00",pharmacy-source:011,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,12,행복약국,행복약국,False,"원주시 시청로 70, (무실동)",원주시 시청로 70 (무실동),742-5875,033-742-5875,08:00~21:00,08:00~21:00,08:00~19:00,08:00~19:00,08:00~20:30,08:00~20:30,"행복약국 원주시 시청로 70, (무실동) 742-5875 08:00~21:00 08:00~19:00 08:00~20:30",pharmacy-source:012,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,13,온누리바다약국,온누리바다약국,False,원주시 북원로2698 (태장동),원주시 북원로2698 (태장동),742-4146,033-742-4146,08:30~21:00,08:30~21:00,08:30~18:00,08:30~18:00,-,-,온누리바다약국 원주시 북원로2698 (태장동) 742-4146 08:30~21:00 08:30~18:00 -,pharmacy-source:013,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,14,유한약국,유한약국,False,원주시 예술관길 28 (명륜동),원주시 예술관길 28 (명륜동),763-0097,033-763-0097,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:30~21:00,09:30~21:00,유한약국 원주시 예술관길 28 (명륜동) 763-0097 08:30~22:00 08:30~22:00 09:30~21:00,pharmacy-source:014,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,15,원주시장약국,원주시장약국,False,원주시 중앙로136 (중앙동),원주시 중앙로136 (중앙동),745-7575,033-745-7575,08:00~22:00,08:00~22:00,08:00~20:00,08:00~20:00,09:00~19:00,09:00~19:00,원주시장약국 원주시 중앙로136 (중앙동) 745-7575 08:00~22:00 08:00~20:00 09:00~19:00,pharmacy-source:015,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,16,나나약국,나나약국,False,원주시 오성마을길 57-22 (단구동),원주시 오성마을길 57-22 (단구동),762-2783,033-762-2783,09:00~21:00,09:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,나나약국 원주시 오성마을길 57-22 (단구동) 762-2783 09:00~21:00 09:00~18:00 09:00~18:00,pharmacy-source:016,processed
year_round,연중무휴약국,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,2026-07-15T23:26:14+09:00,1,구곡시장약국,구곡시장약국,False,원주시 남원로534번길 14 (단구동),원주시 남원로534번길 14 (단구동),761-4827,033-761-4827,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,12:00~22:00,12:00~22:00,구곡시장약국 원주시 남원로534번길 14 (단구동) 761-4827 08:30~22:00 08:30~22:00 12:00~22:00,pharmacy-source:017,processed
year_round,연중무휴약국,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,2026-07-15T23:26:14+09:00,2,금빛누리약국,금빛누리약국,False,원주시 지정면 신지정로 190 105호,원주시 지정면 신지정로 190 105호,742-5458,033-742-5458,09:00~21:00,09:00~21:00,09:00~17:00,09:00~17:00,10:00~17:00,10:00~17:00,금빛누리약국 원주시 지정면 신지정로 190 105호 742-5458 09:00~21:00 09:00~17:00 10:00~17:00,pharmacy-source:018,processed
year_round,연중무휴약국,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,2026-07-15T23:26:14+09:00,3,삼육오약국,삼육오약국,False,원주시 단구로 386 (단구동),원주시 단구로 386 (단구동),763-4072,033-763-4072,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,12:30~22:00,12:30~22:00,삼육오약국 원주시 단구로 386 (단구동) 763-4072 09:00~22:00 09:00~22:00 12:30~22:00,pharmacy-source:019,processed
year_round,연중무휴약국,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,2026-07-15T23:26:14+09:00,4,원주대문약국,원주대문약국,False,원주시 서원대로 174 (단계동),원주시 서원대로 174 (단계동),763-6342,033-763-6342,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:00,08:00~12:00,원주대문약국 원주시 서원대로 174 (단계동) 763-6342 08:00~12:00 08:00~12:00 08:00~12:00,pharmacy-source:020,processed
year_round,연중무휴약국,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,2026-07-15T23:26:14+09:00,5,만종대형약국,만종대형약국,False,원주시 원문로 631 (호저면),원주시 원문로 631 (호저면),731-1365,033-731-1365,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,만종대형약국 원주시 원문로 631 (호저면) 731-1365 08:00~22:00 08:00~22:00 08:00~22:00,pharmacy-source:021,processed
year_round,연중무휴약국,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,2026-07-15T23:26:14+09:00,6,행복약국,행복약국,False,"원주시 시청로 70, (무실동)",원주시 시청로 70 (무실동),742-5875,033-742-5875,08:00~21:00,08:00~21:00,08:00~19:00,08:00~19:00,08:00~20:30,08:00~20:30,"행복약국 원주시 시청로 70, (무실동) 742-5875 08:00~21:00 08:00~19:00 08:00~20:30",pharmacy-source:022,processed
year_round,연중무휴약국,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,2026-07-15T23:26:14+09:00,7,원주대형약국,원주대형약국,False,원주시 호저면 원문로 691(호저면),원주시 호저면 원문로 691 (호저면),733-1065,033-733-1065,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,원주대형약국 원주시 호저면 원문로 691(호저면) 733-1065 08:00~23:00 08:00~23:00 08:00~23:00,pharmacy-source:023,processed
year_round,연중무휴약국,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,2026-07-15T23:26:14+09:00,8,나나약국,나나약국,False,원주시 오성마을길 57-22 (단구동),원주시 오성마을길 57-22 (단구동),762-2783,033-762-2783,09:00~21:00,09:00~21:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,나나약국 원주시 오성마을길 57-22 (단구동) 762-2783 09:00~21:00 09:00~18:00 09:00~18:00,pharmacy-source:024,processed
year_round,연중무휴약국,https://www.wonju.go.kr/health/contents.do?key=1802,2026-04-02,2026-07-15T23:26:14+09:00,9,아침약국,아침약국,False,원주시 단구로 394 (단구동),원주시 단구로 394 (단구동),761-2003,033-761-2003,10:00~01:00(19시~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),10:00~01:00(19시~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),10:00~01:00(19시~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),아침약국 원주시 단구로 394 (단구동) 761-2003 10:00~01:00(19시~22시 휴게시간) 10:00~01:00(19시~22시 휴게시간) 10:00~01:00(19시~22시 휴게시간),pharmacy-source:025,processed
