순번,의료기관명,의료기관주소(도로명),의료기관전화번호,병상,관리기관,관리기관 전화번호,데이터 기준일자
24,연세오케이정형외과의원,"강원특별자치도 원주시 서원대로 402, 대신프라자 5층 (단구동)",033-766-7575,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
25,연세임유리내과의원,"강원특별자치도 원주시 지정면 신지정로 322-1, 6층",033-901-7582,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
26,이상진안과의원,강원특별자치도 원주시 북원로 2245 (단계동),033-743-9344,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
27,숲한의원,"강원특별자치도 원주시 원문로137번길 46, 1층 (단계동)",033-748-8288,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
28,이로운치과의원,"강원특별자치도 원주시 영랑길 14-2, 201호 (행구동)",033-900-2828,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
29,아이조아치과의원,"강원특별자치도 원주시 입춘로 110, 207, 208호 (반곡동)",033-743-2275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
30,치과명작치과의원,"강원특별자치도 원주시 서원대로 396, 스타월드 2층 (단구동)",033-763-2879,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
31,지성정형외과의원,"강원특별자치도 원주시 문막읍 구암길 9, 스카이블루1 빌딩 1~4층",033-734-6700,29,강원특별자치도 원주시청,033-737-4022,2025-11-25
32,중앙플란트치과의원,"강원특별자치도 원주시 평원로 76, 3층 (평원동)",033-813-2804,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
33,진제통의원,"강원특별자치도 원주시 양지로 26, 1층 106호 (반곡동)",033-813-0233,5,강원특별자치도 원주시청,033-737-4022,2025-11-25
34,진제통한의원,"강원특별자치도 원주시 양지로 26, 1층 106호 (반곡동)",033-813-0233,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
35,연세준재활의학과의원,"강원특별자치도 원주시 지정면 신지정로 216, 6,7층",033-900-0847,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
36,미소마취통증의학과의원,"강원특별자치도 원주시 모란1길 69, 201호 (우산동)",033-900-7500,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
37,은혜한의원,"강원특별자치도 원주시 능라동길 82, 3층 (무실동)",033-731-1079,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
38,연세이명규내과의원,"강원특별자치도 원주시 치악로 1791, 3층 (개운동)",033-761-6451,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
39,마디세움 정형외과의원,"강원특별자치도 원주시 지정면 신지정로 322-1, 센텀뷰 5층",033-901-8275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
40,이득수한의원,"강원특별자치도 원주시 지정면 신지정로 216, 601호",033-813-0175,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
41,탑정형외과의원,"강원특별자치도 원주시 봉화로 31, 시재메디타워 (단계동)",1599-7501,16,강원특별자치도 원주시청,033-737-4022,2025-11-25
42,소망의원,"강원특별자치도 원주시 중앙로 136, 2층 (중앙동)",033-742-7558,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
43,원주클라인치과의원,"강원특별자치도 원주시 봉화로 22, 더파크타워 3층 301호 (단계동)",033-734-2700,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
44,연세지안비뇨의학과의원,"강원특별자치도 원주시 능라동길 70, 4층 405,406호 (무실동)",033-743-7788,2,강원특별자치도 원주시청,033-737-4022,2025-11-25
45,수연한의원,"강원특별자치도 원주시 모란1길 75, 201호 (우산동)",033-747-1075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
46,온유가정의학과의원,"강원특별자치도 원주시 지정면 신지정로 216, 402, 403호",033-737-6687,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
47,디지털월드치과의원,"강원특별자치도 원주시 판부면 내남송길 103, 2층",033-761-7772,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
48,서울황내과의원,"강원특별자치도 원주시 능라동길 59, 603,604호 (무실동)",033-813-1314,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
49,소초함께의원,"강원특별자치도 원주시 소초면 송황유사길 3, 1층",033-734-7588,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
50,리블룸의원,"강원특별자치도 원주시 능라동길 73, 3층 (무실동)",0507-1489-2050,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
51,지월한의원,"강원특별자치도 원주시 시청로 96, 영신프라자 2층 202호 (무실동)",033-743-1070,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
52,서울명문치과의원,"강원특별자치도 원주시 시청로 528, 202,203호 (관설동)",033-901-2285,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
53,피어라의원,"강원특별자치도 원주시 지정면 신지정로 172, 현대프라자 3층",033-731-0333,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
54,연세문막치과의원,"강원특별자치도 원주시 문막읍 건등로 70, 2층 205호",033-904-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
55,연세늘내과이비인후과의원,"강원특별자치도 원주시 능라동길 61, 205,506호 (무실동)",033-742-5522,1,강원특별자치도 원주시청,033-737-4022,2025-11-25
56,도움의원,강원특별자치도 원주시 북원로 2634 (태장동),033-732-0279,27,강원특별자치도 원주시청,033-737-4022,2025-11-25
57,마디튼튼마취통증의학과의원,"강원특별자치도 원주시 능라동길 65, 휴먼타워 201~205호 (무실동)",033-747-1188,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
58,자연과한의원 원주점,"강원특별자치도 원주시 능라동길 51, 4층 414~415호 (무실동)",033-813-0369,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
59,원주약선당한의원,"강원특별자치도 원주시 무실로 181, 1층 (명륜동)",033-762-1232,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
60,전찬일한의원,"강원특별자치도 원주시 남원로534번길 14, 4층 (단구동)",033-762-1075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
61,삼성서울리프앤톡스의원,"강원특별자치도 원주시 혁신로 35, 3층 301~302호 (반곡동)",033-813-1707,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
62,아이편한소아청소년과의원,"강원특별자치도 원주시 단구로 398, 청솔3차아파트 1층 104호 (단구동)",033-900-8275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
63,정성한의원,"강원특별자치도 원주시 단구로 384-1, 1층 102호 (단구동)",033-764-3700,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
64,연세바른치과의원,"강원특별자치도 원주시 능라동길 27, 305~306호 (무실동)",033-900--2882,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
65,센텀플란트치과의원,"강원특별자치도 원주시 능라동길 70, 2층 203~206호 (무실동)",033-731-2080,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
66,태장치과의원,"강원특별자치도 원주시 치악로 2200, 1동 1층 (태장동)",033-904-2828,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
67,서울니어치과의원,"강원특별자치도 원주시 지정면 신지정로 190, 3층 301~305호",033-734-0007,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
68,아이튼튼소아청소년과의원,"강원특별자치도 원주시 서원대로 406, 5층 504,505호 (단구동)",033-761-7585,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
69,무실한의원,"강원특별자치도 원주시 능라동길 59, 111~113, 206~207호 (무실동)",033-813-0365,10,강원특별자치도 원주시청,033-737-4022,2025-11-25
70,연세본정형외과마취통증의학과의원,"강원특별자치도 원주시 영랑길 14-2, 401.402-2호 (행구동)",033-900-7582,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
71,다담웃음치과의원,"강원특별자치도 원주시 지정면 신지정로 316-1, 304,305호",033-748-2275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
72,연세시원한외과의원,"강원특별자치도 원주시 능라동길 27, SK타워 404~406호 (무실동)",033-904-7575,5,강원특별자치도 원주시청,033-737-4022,2025-11-25
73,다람쥐키즈치과의원,"강원특별자치도 원주시 지정면 신지정로 322, 501~504호",033-900-2800,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
74,명성메디칼의원,"강원특별자치도 원주시 현충로 11, 2,3층 (태장동)",033-731-3651,24,강원특별자치도 원주시청,033-737-4022,2025-11-25
75,서울토론토치과의원,"강원특별자치도 원주시 혁신로 262, 2층, 3층 (반곡동)",033-900-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
76,대세한의원,"강원특별자치도 원주시 지정면 신지정로 322, 209호",033-731-7975,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
77,톡스앤필의원 원주점,"강원특별자치도 원주시 서원대로 162, 3층 302호 (단계동)",033-735-7999,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
78,원주시민의원,"강원특별자치도 원주시 남원로 645, 영광빌딩 2층 (명륜동)",033-763-9034,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
79,기운내한의원,"강원특별자치도 원주시 남원로534번길 54, 202호 (단구동)",033-761-1997,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
80,원더스의원,"강원특별자치도 원주시 서원대로 164, 3층 (단계동)",033-812-2828,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
81,블리비의원,"강원특별자치도 원주시 서원대로 396, 스타월드 4층 409호, 410호, 411호, 415호 (단구동)",1833-9359,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
82,이편한치과의원,"강원특별자치도 원주시 로아노크로 74, 세이브타워 402호 (무실동)",033-735-2080,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
83,사상참경희한의원,"강원특별자치도 원주시 영랑길 2, 401호 (행구동)",033-813-9600,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
84,원주위대한내과의원,"강원특별자치도 원주시 능라동길 27, SK타워 504~506호 (무실동)",033-742-9669,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
85,제로마취통증의학과의원,"강원특별자치도 원주시 서원대로 406, 303,304호 (단구동)",033-761-8900,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
86,김진수프롤로의원,"강원특별자치도 원주시 북원로 2247, 덕안빌딩  3층 (단계동)",033-745-0188,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
87,유앤미치과의원,"강원특별자치도 원주시 지정면 신지정로 322-1, 305,306호",033-900-6262,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
88,경희다인한의원,"강원특별자치도 원주시 지정면 신지정로 322, 301,302호",033-900-1148,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
89,연세이안치과의원,"강원특별자치도 원주시 영랑길 2, 302호 (행구동)",033-733-8600,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
90,숲이비인후과의원,"강원특별자치도 원주시 서원대로 170, 재영빌딩 3, 4, 5층 (단계동)",033-900-1016,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
91,이미영샘내과의원,"강원특별자치도 원주시 영랑길 14-2, 청연재빌딩 2층 (행구동)",033-900-3000,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
92,곽엄섭내과의원,"강원특별자치도 원주시 현충로 320-1, 1,2층 (태장동)",033-732-8277,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
93,드림365소아청소년과의원,"강원특별자치도 원주시 지정면 신지정로 322, 탑프라자 402,403호",033-734-3650,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
94,연세탑치과의원,"강원특별자치도 원주시 지정면 신지정로 322, 4층 401,411호",033-732-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
95,키다리소아청소년과의원,"강원특별자치도 원주시 지정면 신지정로 316-1, 302,303호",033-743-8080,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
96,효성한의원,"강원특별자치도 원주시 흥업면 사제로 7-4, 1층",033-761-9388,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
97,지정내과의원,"강원특별자치도 원주시 지정면 신지정로 266, 301,302호",033-733-2355,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
98,기린소아청소년과의원,"강원특별자치도 원주시 지정면 신지정로 266, 204호",033-734-3132,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
99,서울플란트치과의원,"강원특별자치도 원주시 지정면 신지정로 266, 401호",033-743-9944,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
100,마음편한정신건강의학과의원,"강원특별자치도 원주시 서원대로 406, 503호 (단구동)",033-766-7675,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
101,화인가정의원,"강원특별자치도 원주시 지정면 신지정로 322-1, 303,304호",033-735-1111,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
102,오스정형외과의원,"강원특별자치도 원주시 북원로 2235-4, 1,2층 118호, 201~7호호 (단계동)",033-900-8282,24,강원특별자치도 원주시청,033-737-4022,2025-11-25
103,서이비인후과의원,"강원특별자치도 원주시 남원로 671, 3층 (명륜동)",033-764-1525,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
104,신월랑한의원,"강원특별자치도 원주시 고문골길 21, 1층 (행구동)",033-744-4535,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
105,오드리의원,"강원특별자치도 원주시 능라동길 51, 시네시티타워 3층 302,303,304호 (무실동)",033-733-3322,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
106,속시원한내과의원,"강원특별자치도 원주시 로아노크로 74, 501호, 502호 (무실동)",033-743-8275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
107,원주김안과의원,"강원특별자치도 원주시 능라동길 70, 3층 306호 (무실동)",033-747-2300,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
108,연세나비이비인후과의원,"강원특별자치도 원주시 지정면 신지정로 316-2, 2층",033-731-7730,2,강원특별자치도 원주시청,033-737-4022,2025-11-25
109,남부한의원,"강원특별자치도 원주시 남원로 667-1, 1층 (명륜동)",033-735-9000,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
110,신준현신경과의원,"강원특별자치도 원주시 능라동길 35, 베르뉴시티 3층 301호,302호 (무실동)",033-735-5254,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
111,의함다래평생한의원,"강원특별자치도 원주시 남산로 180, 대성빌딩 101호 (학성동)",033-766-8925,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
112,에이플치과의원,"강원특별자치도 원주시 백간길 25, 2층 (단계동)",033-743-7522,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
113,강남후생치과의원,"강원특별자치도 원주시 북원로 2706, 2층 (태장동)",033-746-2827,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
114,백세한의원,"강원특별자치도 원주시 현충로58번길 28, 2층 (태장동)",033-746-7850,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
115,고려제일의원,"강원특별자치도 원주시 부론면 법천시장길 52, 2층",033-742-7572,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
116,통탈의원,"강원특별자치도 원주시 혁신로 37-2, 중앙타워 4층 (반곡동)",033-813-3375,18,강원특별자치도 원주시청,033-737-4022,2025-11-25
117,신선한의원,"강원특별자치도 원주시 소초면 간촌길 130, 1층",070-7679-3140,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
118,하나내과의원,"강원특별자치도 원주시 치악로 1527, 판부농협하나로마트 2층 (관설동)",033-763-9080,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
119,준소아청소년과의원,"강원특별자치도 원주시 백간길 25, SG프라자 2층 (단계동)",033-744-2119,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
120,연세봄이비인후과의원,"강원특별자치도 원주시 영랑길 2, 201, 301호 (행구동)",033-747-2537,3,강원특별자치도 원주시청,033-737-4022,2025-11-25
121,더사랑소아청소년과의원,"강원특별자치도 원주시 오리현길 16-9, 1층 (반곡동)",033-732-2693,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
122,연세치과의원,"강원특별자치도 원주시 무실로 182, 원주원예농협하나로클럽 2층 (단계동)",033-733-7505,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
123,하니유외과의원,"강원특별자치도 원주시 영랑길 14-2, 청연재 빌딩 3층 (행구동)",033-900-6075,2,강원특별자치도 원주시청,033-737-4022,2025-11-25
124,우리산부인과의원,"강원특별자치도 원주시 영랑길 14-2, 청연재빌딩 6,7층 (행구동)",033-900-5959,10,강원특별자치도 원주시청,033-737-4022,2025-11-25
125,최한의원,"강원특별자치도 원주시 문막읍 건등로 10-19, 문호빌딩 2층",033-734-2378,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
126,편하지의원,"강원특별자치도 원주시 시청로 25, 태성프라자 602~603호 (무실동)",033-813-0777,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
127,좋은 마음 정신건강의학과 의원,"강원특별자치도 원주시 서원대로 162, 601호 (단계동)",033-733-6300,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
128,바른한의원,"강원특별자치도 원주시 천사로 210, 1~4층 (일산동)",033-734-7975,10,강원특별자치도 원주시청,033-737-4022,2025-11-25
129,문막동화한의원,"강원특별자치도 원주시 문막읍 왕건로 81, 동화빌딩 302호",033-746-7510,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
130,하늘치과의원,"강원특별자치도 원주시 능라동길 7, 403호 (무실동)",033-746-9075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
131,연세이튼치과의원,"강원특별자치도 원주시 양지로 80, 403호, 404호 (반곡동)",033-747-8575,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
132,경희나무한의원,"강원특별자치도 원주시 백간길 25, 2층 (단계동)",033-744-1175,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
133,박현민성형외과의원,"강원특별자치도 원주시 서원대로 156, 5층 (단계동)",033-742-7773,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
134,하이맨비뇨기과의원,강원특별자치도 원주시 봉화로 12 (단계동),033-733-3744,1,강원특별자치도 원주시청,033-737-4022,2025-11-25
135,부부소아청소년과의원,강원특별자치도 원주시 문막읍 왕건로 48,033-746-5988,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
136,삼성서울치과의원,"강원특별자치도 원주시 능라동길 51, 3층 301호 (무실동)",033-812-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
137,삼성서울 치과교정과 치과의원,"강원특별자치도 원주시 능라동길 51, 3층 317, 318호 (무실동)",033-812-2888,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
138,엄마맘소아청소년과의원,"강원특별자치도 원주시 양지로 4, 2층 202호 (반곡동, 더조은메디컬빌딩 )",033-742-1119,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
139,모두올한의원,"강원특별자치도 원주시 혁신로 35, 205호 (반곡동)",033-747-8284,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
140,연세열린내과의원,"강원특별자치도 원주시 백간길 25, 2층 (단계동)",033-733-1346,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
141,죠훈신경외과의원,"강원특별자치도 원주시 양지로 4, 3~5층 (반곡동)",033-748-9111,23,강원특별자치도 원주시청,033-737-4022,2025-11-25
142,건강한치과의원,"강원특별자치도 원주시 건강로 21, 2층 (반곡동, 조은빌딩)",033-734-2275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
143,더편한정형외과의원,"강원특별자치도 원주시 원일로115번길 12 (일산동, 서진빌딩 4층)",033-734-7582,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
144,에벤에셀치과의원,"강원특별자치도 원주시 시청로 555, 2층 (관설동, 청어람빌딩)",033-764-9128,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
145,서울튼튼신경외과의원,"강원특별자치도 원주시 중앙시장길 11, 2층 (중앙동, 자유시장 1블럭 1호)",033-743-7583,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
146,하늘빛 정신건강의학과 의원,"강원특별자치도 원주시 능라동길 61, 5층 (무실동, 정한타워)",033-743-7975,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
147,보리한의원,"강원특별자치도 원주시 단구로 351, 2층 (단구동)",033-765-8875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
148,꿈에의원,"강원특별자치도 원주시 단구로 398, 청솔3차아파트 상가동 1층 103호 (단구동)",033-732-7502,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
149,나다운 정신건강의학과의원,강원특별자치도 원주시 평원로 62 (평원동),033-744-2468,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
150,정직한치과의원,강원특별자치도 원주시 무실로 170 (단계동),033-747-2878,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
151,남부밝은안과의원,강원특별자치도 원주시 남원로 667-1 (명륜동),033-766-9100,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
152,삼대한의원,"강원특별자치도 원주시 원문로 168, 1층 (단계동)",033-743-8075,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
153,미올한의원원주점,"강원특별자치도 원주시 능라동길 63, 305호 (무실동)",033-734-5700,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
154,해담한의원,"강원특별자치도 원주시 혁신로 37-3, 301호 (반곡동)",033-731-1175,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
155,몸편안한의원,강원특별자치도 원주시 치악로 1786 (개운동),033-764-2757,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
156,원주치과의원,"강원특별자치도 원주시 봉화로 31, 2층 (단계동)",033-734-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
157,맥한의원,강원특별자치도 원주시 입춘로 110 (반곡동),033-765-8275,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
158,연세 혁신내과의원,강원특별자치도 원주시 혁신로 53 (반곡동),033-747-4253,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
159,닥터리치과의원,"강원특별자치도 원주시 행구로 148, 3층 (행구동)",033-748-7522,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
160,고석만정신건강의학과의원,"강원특별자치도 원주시 능라동길 59 (무실동, 정한프라자 509호)",033-744-0223,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
161,기린한의원,"강원특별자치도 원주시 장미공원길 67-16, 단계메디컬센터 4층 (단계동)",033-747-8333,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
162,오케이치과의원,"강원특별자치도 원주시 혁신로 37-3, 303, 305호 (반곡동)",033-812-2080,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
163,연세메디컬의원,강원특별자치도 원주시 시청로 70 (무실동),033-734-0365,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
164,치과의정석치과의원,강원특별자치도 원주시 능라동길 59 (무실동),033-731-2882,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
165,도담내과의원,"강원특별자치도 원주시 모란1길 70, 203층 (우산동, 수정프라자)",033-744-4901,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
166,서울열린치과의원,"강원특별자치도 원주시 시청로 96, 영신프라자 3층 303호 (무실동)",033-744-1369,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
167,연세부부치과의원,"강원특별자치도 원주시 모란1길 79, 2층 (우산동)",033-746-2879,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
168,연세굿모닝내과의원,"강원특별자치도 원주시 행구로 148, 3층 (행구동)",033-733-0799,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
169,닥터후치과의원,"강원특별자치도 원주시 시청로 98, 3층 (무실동, 새봄빌딩)",033-742-2875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
170,연세사랑나눔치과의원,"강원특별자치도 원주시 모란1길 86, 2층 202~206호 (우산동)",033-733-0875,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
171,타토아의원,"강원특별자치도 원주시 서원대로 408, 3층 (단구동)",033-766-0211,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
172,다온재활의학과의원,"강원특별자치도 원주시 능라동길 61, 3,5층 308,309,,506,507,508호 (무실동)",033-746-7500,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
