seed_id,scope,source_url,final_url,status,final_fetch_status,http_status,tls_compat_retry_used,tls_verification_mode,original_tls_error,tls_verification,title,source_updated_at,phone_candidates,raw_html,sha256,collected_at
11,mental_health,https://loveme.yonsei.kr/sub.php?menukey=12,https://loveme.yonsei.kr/sub.php?menukey=12,collected,collected,200,False,verified,,verified,안내/오시는길 | 센터소개 | 원주시정신건강복지센터,,033-746-0192;033-746-0198;033-746-0199;1577-0199,data/collected/public_health/raw/2026-07-15/seed_11.html,66e4028c9bda882a52c915db0145097b94ca11103c69239274edd72ee01873d3,2026-07-15T23:45:29+09:00
12,mental_health,https://loveme.yonsei.kr/sub.php?menukey=31,https://loveme.yonsei.kr/sub.php?menukey=31,collected,collected,200,False,verified,,verified,지역사회통합사업 | 원주시정신건강복지센터 | 사업안내 | 원주시정신건강복지센터,,033-746-0192;033-746-0198;033-746-0199;1577-0199,data/collected/public_health/raw/2026-07-15/seed_12.html,09707b2ac0e47463d27a30a7312e8c518400440502d4b47a1ddb8af8c18653a2,2026-07-15T23:45:29+09:00
13,mental_health,https://loveme.yonsei.kr/sub.php?menukey=14,https://loveme.yonsei.kr/sub.php?menukey=14,collected,collected,200,False,verified,,verified,원주시자살예방센터 | 사업안내 | 원주시정신건강복지센터,,033-746-0192;033-746-0198;033-746-0199;1577-0199,data/collected/public_health/raw/2026-07-15/seed_13.html,b609569b3794ae43495b388d4c9df38be0d308674962349f05a7dd391a8c3590,2026-07-15T23:45:29+09:00
14,addiction,https://www.wonju.go.kr/health/contents.do?key=1671,https://www.wonju.go.kr/health/contents.do?key=1671,collected,collected,200,False,verified,,verified,중독관리 - 보건 -보건소,2026.01.09,033-737-4011;033-737-4083;033-737-4826,data/collected/public_health/raw/2026-07-15/seed_14.html,accb9ce4c00c8ca29126bc6e40f2e4710e5259aef765b8b6830da36b482e079b,2026-07-15T23:45:29+09:00
15,addiction,https://www.alja.or.kr/,https://www.alja.or.kr/,collected,collected,200,True,unverified_fallback,"HTTPSConnectionPool(host='www.alja.or.kr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1082)')))",unverified_fallback,,,,data/collected/public_health/raw/2026-07-15/seed_15.html,1fce60c16cb18bed602097770906152deea19e3cfbe3bd144a166efc6a57b975,2026-07-15T23:45:29+09:00
16,dementia,https://wonju.nid.or.kr/,https://wonju.nid.or.kr/main/main.aspx,collected,collected,200,False,verified,,verified,강원특별자치도 원주시 치매안심센터,,033-737-3792;033-737-3855;033-737-4542;033-737-4552,data/collected/public_health/raw/2026-07-15/seed_16.html,725e813f1b3e1e2fa85405aa232e76b7fa5934861e9815fd8fca896c7faac848,2026-07-15T23:45:29+09:00
17,dementia,https://wonju.nid.or.kr/center/map.aspx,https://wonju.nid.or.kr/center/map.aspx,collected,collected,200,False,verified,,verified,강원특별자치도 원주시 치매안심센터,,033-737-3855;033-737-4542,data/collected/public_health/raw/2026-07-15/seed_17.html,5e260163f9c13b8854dac4d914c605e7708d65bcc912d0ac05d88fb29c225ed3,2026-07-15T23:45:29+09:00
18,emergency_and_holiday_care,https://www.wonju.go.kr/health/selectBbsNttList.do?bbsNo=53&key=2438,https://www.wonju.go.kr/health/selectBbsNttList.do?bbsNo=53&key=2438,collected,collected,200,False,verified,,verified,명절 연휴 비상진료 대책 - 진료안내 - 진료 -보건소,2026.01.21,033-737-2070;033-737-4011;033-737-4826,data/collected/public_health/raw/2026-07-15/seed_18.html,bed33fba774821d349a7975826339510fb1734abc31ae3f17d277e7769365897,2026-07-15T23:45:29+09:00
19,emergency_and_holiday_care,https://www.wonju.go.kr/health/selectBbsNttList.do?bbsNo=55&key=1655,https://www.wonju.go.kr/health/selectBbsNttList.do?bbsNo=55&key=1655,collected,collected,200,False,verified,,verified,새소식 - 정보마당 -보건소,2026.02.24,033-737-4011;033-737-4012;033-737-4826;1006 2026;1249 2026;1511 2026;1568 2026;1646 2026;1960 2026;2024-2025;3315 2026;5196 2026;5228 2026;5330 2026;535 2026;5516 2026;5568 2026;5634 2026;5662 2026;5706 2026;5783 2026;6169 2026;6709 2026;6821 2026;6950 2026;7085 2025;7921 2025;8017 2025;8038 2025;8674 2025;9705 2025;993 2026,data/collected/public_health/raw/2026-07-15/seed_19.html,a83f6bc1859fc2f07b78da5278847b915b1eb905f0e48aac3e902e96628cd07a,2026-07-15T23:45:29+09:00
20,emergency_and_holiday_care,https://www.wonju.go.kr/health/selectResrceListPA3.do?key=1787,https://www.wonju.go.kr/health/selectResrceListPA3.do?key=1787,collected,collected,200,False,verified,,verified,관내의료기관 - 관내의료기관 - 정보마당 -보건소,2026.01.21,033-1522-3375;033-737-4003;033-737-4011;033-737-4826;033-740-8800;033-741-0114;033-742-7766;033-747-2000;033-749-9900;033-761-6911;033-813-1111;033-900-1111;1670-2020,data/collected/public_health/raw/2026-07-15/seed_20.html,e291b8d253dc7758bebdfcec9f4844880752980ca58bc857b1f1da3de97ba23a,2026-07-15T23:45:29+09:00
21,emergency_and_holiday_care,https://www.e-gen.or.kr/egen/search_hospital.do,https://www.e-gen.or.kr/egen/search_hospital.do,collected,collected,200,True,unverified_fallback,"HTTPSConnectionPool(host='www.e-gen.or.kr', port=443): Max retries exceeded with url: /egen/search_hospital.do (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1082)')))",unverified_fallback,병원  찾기-지도 | E-GEN통합홈페이지,,,data/collected/public_health/raw/2026-07-15/seed_21.html,b794065fb77bb5b34b783f4e0c506dae320bea25a68e2af6b33b2e8a4ac83d15,2026-07-15T23:45:29+09:00
