contact_id,source_candidate_id,public_health_id,target_id,organizational_unit_id,contact_type,contact_label,contact_value,contact_value_normalized,department,purpose,availability_note,source_url,source_updated_at,evidence_hash,review_status
contact:cd281820a1f0a293a39c,4acb163cb1e0fa0b5fb0,public_health:b9e6fe7edd46c7f9,phb:munmak,,department_phone,문막보건지소,033-737-4531,033-737-4531,보건행정과,문막보건지소,,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,c749a4aa498bae22ff3a383f9fb6427b6f73fee505675e3f5f81eb684ebdb83b,verified
contact:6e32a4b239aebc6f5d84,7b2022d43af5d56dcb76,public_health:31556e04f04d20b3,phb:socho,,department_phone,소초보건지소,033-737-4532,033-737-4532,보건행정과,소초보건지소,,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,4260b1dec3fbd1a6911c738d4972c9979f55c55f25fe4e39627cb7fe1ec28bd2,verified
contact:eb299503a47057e465d3,3577c0e6072eb8fde335,public_health:edd7e0e80c7973ce,phb:buro,,department_phone,부론보건지소 운영,033-737-4535,033-737-4535,보건행정과,부론보건지소 운영,,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,74867f266e53567efb5604013cc7f39a8ae5845d5ec25bea9bc18a9c654c5300,verified
contact:847134816acecb5f780b,fa6c64157b73ac3b6f7e,public_health:25a08e1f9a2740d8,phb:sillim,,department_phone,"신림보건지소 진료 및 민원업무, 판부,흥업보건지소 청사관리",033-737-4539,033-737-4539,보건행정과,"신림보건지소 진료 및 민원업무, 판부,흥업보건지소 청사관리",,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,cbb7e808d40fc72c0a556b41f317d25aa18e6f4aca6f8f5945bd36b33fcc9692,verified
contact:1114fafc39d211a76595,874328a52471d10c5c36,public_health:9518d7e5ee08bc5d,phc:bi-do,,department_phone,비두보건진료소 업무,033-737-4526,033-737-4526,보건행정과,비두보건진료소 업무,,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,e2faedc09c1e6079cab08542a60ba8a0505c70b76cd8a8c4fb5b9de62c92176f,verified
contact:e9a43b66e8798da5ee55,0ced44130610b495576a,public_health:aa4389277fc3c40f,phc:hakgok,,department_phone,학곡보건진료소 업무,033-737-4521,033-737-4521,보건행정과,학곡보건진료소 업무,,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,ab31001471bd69e881d9d03a7b2b42c5fc240b2adc75a3bc191698642f890536,verified
contact:2739251b915709ce1d5d,333dbb9d79f08fccbf87,public_health:c4eef21d76ba08f8,phc:gosan,,department_phone,고산보건진료소 업무,033-737-4522,033-737-4522,보건행정과,고산보건진료소 업무,,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,bf99a12ddbc5b6b5141dea25ff4401b2e3a2519e52588b5755d91211ebdf0bbc,verified
contact:4a2679cf38435e63a755,375f84d073d52231a188,public_health:110991d0a71108ed,phc:sanhyeon,,department_phone,산현보건진료소 업무,033-737-4523,033-737-4523,보건행정과,산현보건진료소 업무,,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,efff20c17441f1dd5d16edd975bfc4f9dce7de1ece36e0c7cb1f5c5e6e884dde,verified
contact:4cd7d918df48b5ccc972,979bdfc21104e1995d9d,public_health:2b27394b746c8f74,phc:pandae,,department_phone,판대보건진료소 업무,033-737-4528,033-737-4528,보건행정과,판대보건진료소 업무,,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,47a28e29bae7e83f88212303ade733446483a1f9fa5ef9e3b22305227e1d2c41,verified
contact:6e92208ee7782ebddba1,76c9c6285ba6d6178403,public_health:491989c6474cc1f2,phc:dangang,,department_phone,단강보건진료소업무,033-737-4525,033-737-4525,보건행정과,단강보건진료소업무,,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,05e7d23787e2679b482bdb85d195cdf4ad6e5d312c56708ff3a49b63fc973ae8,verified
contact:a2ba5268aa2e16fb5bd1,066057e2b7e62c79ee0b,public_health:1edc176e6277e4a0,phc:saje,,department_phone,사제보건진료소업무,033-737-4524,033-737-4524,보건행정과,사제보건진료소업무,,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,fde2a0baebb0a931cad4256dbc4f5217a2568afdc62f586e7bbe00dc2d57f684,verified
contact:d3aa5333e3e2b75e4405,55be4b17f73d1b295970,public_health:f26c8aeff7ed0838,phc:hwangdun,,department_phone,황둔보건진료소 업무,033-737-4527,033-737-4527,보건행정과,황둔보건진료소 업무,,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,c54416beac3b42caffc91080fc8c65f6b454bcfcf0b9377f389170f738b466d7,verified
